date,location,race_name,class,distance,surface,gender,weight_type
2026-01-04,中山,3歳未勝利,未勝利,1200,ダート,牝馬限定,不明
2026-01-04,中山,3歳未勝利,未勝利,1800,ダート,混合,不明
2026-01-04,中山,3歳新馬,新馬,1200,ダート,混合,不明
2026-01-04,中山,3歳未勝利,未勝利,1800,ダート,混合,不明
2026-01-04,中山,3歳未勝利,未勝利,1600,芝,混合,不明
2026-01-04,中山,3歳新馬,新馬,2000,芝,混合,不明
2026-01-04,中山,4歳以上1勝クラス,1勝,1800,ダート,混合,定量
2026-01-04,中山,4歳以上1勝クラス,1勝,1200,ダート,牝馬限定,定量
2026-01-04,中山,招福ステークス,3勝,1800,ダート,混合,定量
2026-01-04,中山,ジュニアカップ（L）,OP,1600,芝,混合,別定
2026-01-04,中山,第75回 日刊スポーツ賞 中山金杯（GⅢ）,G3,2000,芝,混合,ハンデ
2026-01-04,中山,4歳以上2勝クラス,2勝,1200,ダート,混合,定量
2026-01-04,京都,3歳未勝利,未勝利,1200,ダート,混合,不明
2026-01-04,京都,3歳未勝利,未勝利,1800,ダート,混合,不明
2026-01-04,京都,3歳未勝利,未勝利,1400,ダート,混合,不明
2026-01-04,京都,3歳新馬,新馬,1800,ダート,混合,不明
2026-01-04,京都,3歳新馬,新馬,1800,芝,混合,不明
2026-01-04,京都,3歳1勝クラス,1勝,2000,芝,混合,不明
2026-01-04,京都,4歳以上1勝クラス,1勝,1800,ダート,牝馬限定,定量
2026-01-04,京都,4歳以上1勝クラス,1勝,1200,ダート,混合,定量
2026-01-04,京都,天ケ瀬特別,2勝,1800,ダート,混合,定量
2026-01-04,京都,寿ステークス,3勝,2000,芝,混合,定量
2026-01-04,京都,第64回 スポーツニッポン賞 京都金杯（GⅢ）,G3,1600,芝,混合,ハンデ
2026-01-04,京都,4歳以上2勝クラス,2勝,1400,芝,混合,定量
