date,location,race_num,is_obstacle,age_condition,race_name,class,surface,distance,gender,weight_type
2026-02-01,東京,1,平地,3歳,3歳未勝利,未勝利,ダート,1400,,
2026-02-01,東京,2,平地,3歳,3歳未勝利,未勝利,ダート,2100,,
2026-02-01,東京,3,平地,3歳,3歳未勝利,未勝利,ダート,1600,牝馬限定,
2026-02-01,東京,4,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1400,,定量
2026-02-01,東京,5,平地,3歳,3歳新馬,新馬,芝,1600,,
2026-02-01,東京,6,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1600,,定量
2026-02-01,東京,7,平地,4歳以上,4歳以上2勝クラス,2勝,芝,2000,,定量
2026-02-01,東京,8,平地,4歳以上,4歳以上2勝クラス,2勝,ダート,2100,,定量
2026-02-01,東京,9,平地,3歳,セントポーリア賞,1勝,芝,1800,,
2026-02-01,東京,10,平地,4歳以上,節分ステークス,3勝,芝,1400,,定量
2026-02-01,東京,11,平地,4歳以上,フォーエバーヤング ブリーダーズカップクラシック優勝記念 第40回 根岸ステークス（GⅢ）,G3,ダート,1400,,別定
2026-02-01,東京,12,平地,3歳,3歳未勝利,未勝利,芝,1800,,
2026-02-01,京都,1,平地,3歳,3歳未勝利,未勝利,ダート,1800,牝馬限定,
2026-02-01,京都,2,平地,3歳,3歳未勝利,未勝利,ダート,1200,,
2026-02-01,京都,3,平地,3歳,3歳未勝利,未勝利,ダート,1900,,
2026-02-01,京都,4,平地,3歳,3歳新馬,新馬,ダート,1400,,
2026-02-01,京都,5,平地,3歳,3歳未勝利,未勝利,芝,2000,,
2026-02-01,京都,6,平地,3歳,3歳1勝クラス,1勝,ダート,1400,牝馬限定,
2026-02-01,京都,7,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1800,,定量
2026-02-01,京都,8,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1400,,定量
2026-02-01,京都,9,平地,4歳以上,衣笠特別,2勝,ダート,1800,,定量
2026-02-01,京都,10,平地,4歳以上,八坂ステークス,3勝,芝,2200,,定量
2026-02-01,京都,11,平地,4歳以上,第31回 シルクロードステークス（GⅢ）,G3,芝,1200,,ハンデ
2026-02-01,京都,12,平地,4歳以上,4歳以上2勝クラス,2勝,芝,1600,,定量
2026-02-01,小倉,1,平地,3歳,3歳未勝利,未勝利,ダート,1700,,
2026-02-01,小倉,2,平地,3歳,3歳未勝利,未勝利,芝,1200,,
2026-02-01,小倉,3,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1000,,定量
2026-02-01,小倉,4,障害,4歳以上,障害4歳以上未勝利,未勝利,芝,2860,,定量
2026-02-01,小倉,5,平地,3歳,3歳新馬,新馬,芝,1200,,
2026-02-01,小倉,6,平地,3歳,3歳未勝利,未勝利,芝,2000,,
2026-02-01,小倉,7,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1700,牝馬限定,定量
2026-02-01,小倉,8,平地,4歳以上,4歳以上1勝クラス,1勝,芝,1800,,定量
2026-02-01,小倉,9,平地,4歳以上,足立山特別,1勝,芝,2600,,定量
2026-02-01,小倉,10,平地,4歳以上,周防灘特別,2勝,芝,1200,,定量
2026-02-01,小倉,11,平地,4歳以上,門司ステークス,OP,ダート,1700,,別定
2026-02-01,小倉,12,平地,4歳以上,4歳以上1勝クラス,1勝,芝,1200,,定量
2026-02-07,東京,1,平地,3歳,3歳未勝利,未勝利,ダート,1400,牝馬限定,
2026-02-07,東京,2,平地,3歳,3歳未勝利,未勝利,ダート,1300,,
2026-02-07,東京,3,平地,3歳,3歳未勝利,未勝利,ダート,1600,,
2026-02-07,東京,4,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1600,牝馬限定,定量
2026-02-07,東京,5,平地,3歳,3歳新馬,新馬,芝,1800,,
2026-02-07,東京,6,平地,3歳,3歳未勝利,未勝利,芝,1600,,
2026-02-07,東京,7,平地,3歳,3歳1勝クラス,1勝,ダート,1400,,
2026-02-07,京都,1,平地,3歳,3歳未勝利,未勝利,ダート,1800,,
2026-02-07,京都,2,平地,3歳,3歳未勝利,未勝利,ダート,1900,,
2026-02-07,京都,3,平地,3歳,3歳未勝利,未勝利,ダート,1400,,
2026-02-07,京都,4,平地,3歳,3歳新馬,新馬,ダート,1800,,
2026-02-07,京都,5,平地,3歳,3歳未勝利,未勝利,芝,1600,牝馬限定,
2026-02-07,京都,6,平地,3歳,3歳1勝クラス,1勝,ダート,1400,,
2026-02-07,京都,7,平地,4歳以上,4歳以上1勝クラス,1勝,芝,2400,,定量
2026-02-07,京都,8,平地,4歳以上,4歳以上2勝クラス,2勝,芝,2000,,定量
2026-02-07,京都,9,平地,4歳以上,橿原ステークス,3勝,ダート,1200,,ハンデ
2026-02-07,京都,10,平地,3歳,エルフィンステークス（L）,OP,芝,1600,牝馬限定,別定
2026-02-07,京都,11,平地,4歳以上,アルデバランステークス,OP,ダート,1900,,別定
2026-02-07,京都,12,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1200,,定量
2026-02-07,小倉,1,平地,3歳,3歳未勝利,未勝利,ダート,1700,牝馬限定,
2026-02-07,小倉,2,平地,3歳,3歳未勝利,未勝利,芝,1200,,
2026-02-07,小倉,3,平地,3歳,3歳未勝利,未勝利,ダート,1000,,
2026-02-07,小倉,4,障害,4歳以上,障害4歳以上未勝利,未勝利,芝,2860,,定量
2026-02-07,小倉,5,障害,4歳以上,障害4歳以上未勝利,未勝利,芝,2860,,定量
2026-02-07,小倉,6,平地,3歳,3歳未勝利,未勝利,芝,2000,,
2026-02-07,小倉,7,平地,4歳以上,4歳以上1勝クラス,1勝,芝,2000,牝馬限定,定量
2026-02-07,小倉,8,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1700,,定量
2026-02-07,小倉,9,平地,4歳以上,戸畑特別,1勝,芝,2000,,定量
2026-02-07,小倉,10,平地,4歳以上,RKB賞,2勝,芝,1800,,定量
2026-02-07,小倉,11,平地,4歳以上,豊前ステークス,3勝,ダート,1700,,ハンデ
2026-02-07,小倉,12,平地,4歳以上,4歳以上1勝クラス,1勝,芝,1200,牝馬限定,定量
2026-02-08,小倉,1,平地,3歳,3歳未勝利,未勝利,ダート,1700,,
2026-02-08,小倉,2,平地,3歳,3歳未勝利,未勝利,芝,1200,牝馬限定,
2026-02-08,小倉,3,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1000,,定量
2026-02-08,小倉,4,障害,4歳以上,障害4歳以上未勝利,未勝利,芝,2860,,定量
2026-02-08,小倉,5,平地,3歳,3歳新馬,新馬,芝,2000,,
2026-02-08,小倉,6,平地,3歳,3歳未勝利,未勝利,芝,1800,,
2026-02-08,小倉,7,平地,4歳以上,4歳以上1勝クラス,1勝,ダート,1700,牝馬限定,定量
2026-02-08,小倉,8,平地,4歳以上,4歳以上1勝クラス,1勝,芝,1800,,定量
2026-02-08,小倉,9,平地,3歳,かささぎ賞,1勝,芝,1200,,
