date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-12-05,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-05,中山,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-12-05,中山,3,平地,2歳,2歳未勝利,未勝利,外,芝,1600,,
2026-12-05,中山,4,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-05,中山,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-12-05,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-12-05,中山,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-05,中山,8,障害,3歳以上,イルミネーションジャンプステークス,OP,,芝,3570,,別定
2026-12-05,中山,9,平地,2歳,葉牡丹賞,1勝,,芝,2000,,
2026-12-05,中山,10,平地,3歳以上,鹿島特別,2勝,,ダート,1800,,定量
2026-12-05,中山,11,平地,3歳以上,第60回 スポーツニッポン賞 ステイヤーズステークス（GⅡ）,G2,,芝,3600,,別定
2026-12-05,中山,12,平地,3歳以上,3歳以上2勝クラス,2勝,外,芝,1200,,定量
2026-12-05,阪神,1,平地,2歳,2歳未勝利,未勝利,,ダート,1400,,
2026-12-05,阪神,2,平地,2歳,2歳未勝利,未勝利,外,芝,1600,牝馬限定,
2026-12-05,阪神,3,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-05,阪神,4,平地,2歳,2歳未勝利,未勝利,外,芝,1800,,
2026-12-05,阪神,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-12-05,阪神,6,平地,2歳,2歳新馬,新馬,,ダート,1200,,
2026-12-05,阪神,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-05,阪神,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-12-05,阪神,9,平地,2歳,さざんか賞,1勝,,芝,1200,,
2026-12-05,阪神,10,平地,3歳以上,妙見山ステークス,3勝,,ダート,1200,,定量
2026-12-05,阪神,11,平地,3歳以上,第79回 農林水産省賞典 鳴尾記念（GⅢ）,G3,外,芝,1800,,別定
2026-12-05,阪神,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,,定量
2026-12-05,中京,1,平地,2歳,2歳未勝利,未勝利,,ダート,1400,牝馬限定,
2026-12-05,中京,2,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-05,中京,3,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-12-05,中京,4,平地,2歳,2歳未勝利,未勝利,,芝,1600,,
2026-12-05,中京,5,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-12-05,中京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1900,,定量
2026-12-05,中京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-05,中京,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,,定量
2026-12-05,中京,9,平地,2歳,こうやまき賞,1勝,,芝,1600,,
2026-12-05,中京,10,平地,3歳以上,中京日経賞,2勝,,ダート,1800,牝馬限定,定量
2026-12-05,中京,11,平地,3歳以上,飛騨ステークス,3勝,,芝,1600,,定量
2026-12-05,中京,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1400,,定量
2026-12-06,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-06,中山,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-06,中山,3,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-12-06,中山,4,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2880,,定量
2026-12-06,中山,5,平地,2歳,2歳新馬,新馬,外,芝,1200,,
2026-12-06,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1200,,
2026-12-06,中山,7,平地,3歳以上,3歳以上2勝クラス,2勝,,芝,2500,,定量
2026-12-06,中山,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-12-06,中山,9,平地,3歳以上,南総ステークス,3勝,外,芝,1200,,定量
2026-12-06,中山,10,平地,3歳以上,市川ステークス,3勝,,ダート,1800,,ハンデ
2026-12-06,中山,11,平地,3歳以上,ラピスラズリステークス（L),OP,外,芝,1200,,別定
2026-12-06,中山,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-06,阪神,1,平地,2歳,2歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-12-06,阪神,2,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-06,阪神,3,平地,2歳,2歳未勝利,未勝利,,芝,1400,,
2026-12-06,阪神,4,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-12-06,阪神,5,平地,2歳,2歳新馬,新馬,外,芝,1600,,
2026-12-06,阪神,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-12-06,阪神,7,平地,2歳,2歳1勝クラス,1勝,,ダート,1200,,
2026-12-06,阪神,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1800,,定量
2026-12-06,阪神,9,平地,3歳以上,豊中特別,2勝,外,芝,1800,,定量
2026-12-06,阪神,10,平地,3歳以上,元町ステークス,3勝,外,芝,1800,,ハンデ
2026-12-06,阪神,11,平地,3歳以上,りんくうステークス,OP,,ダート,1200,,ハンデ
2026-12-06,阪神,12,平地,3歳以上,3歳以上2勝クラス,2勝,,芝,1400,,定量
2026-12-06,中京,1,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-06,中京,2,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-06,中京,3,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,牝馬限定,定量
2026-12-06,中京,4,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-12-06,中京,5,平地,2歳,2歳新馬,新馬,,芝,1600,,
2026-12-06,中京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,牝馬限定,定量
2026-12-06,中京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1600,,定量
2026-12-06,中京,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-06,中京,9,平地,3歳以上,栄特別,1勝,,芝,2200,,定量
2026-12-06,中京,10,平地,3歳以上,志摩特別,2勝,,芝,1600,,定量
2026-12-06,中京,11,平地,3歳以上,第27回 チャンピオンズカップ（GⅠ）,G1,,ダート,1800,,定量
2026-12-06,中京,12,平地,3歳以上,鳴海特別,2勝,,ダート,1400,,ハンデ
2026-12-12,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,牝馬限定,
2026-12-12,中山,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-12,中山,3,平地,2歳,2歳未勝利,未勝利,外,芝,1600,,
2026-12-12,中山,4,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-12-12,中山,5,平地,2歳,2歳新馬,新馬,,芝,1800,,
2026-12-12,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-12-12,中山,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-12,中山,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1800,,定量
2026-12-12,中山,9,平地,2歳,黒松賞,1勝,外,芝,1200,,
2026-12-12,中山,10,平地,3歳以上,アクアラインステークス,3勝,,ダート,1200,,ハンデ
2026-12-12,中山,11,平地,3歳以上,常総ステークス,3勝,,芝,1800,,定量
2026-12-12,中山,12,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-12-12,阪神,1,平地,2歳,2歳未勝利,未勝利,外,芝,1800,牝馬限定,
2026-12-12,阪神,2,平地,2歳,2歳未勝利,未勝利,,芝,1400,,
2026-12-12,阪神,3,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-12,阪神,4,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2970,,定量
2026-12-12,阪神,5,平地,2歳,2歳新馬,新馬,,芝,1400,,
2026-12-12,阪神,6,平地,2歳,2歳新馬,新馬,,ダート,1400,,
2026-12-12,阪神,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,牝馬限定,定量
2026-12-12,阪神,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-12,阪神,9,平地,2歳,エリカ賞,1勝,,芝,2000,,
2026-12-12,阪神,10,平地,3歳以上,赤穂特別,2勝,,ダート,2000,,定量
2026-12-12,阪神,11,平地,3歳以上,リゲルステークス,L,外,芝,1600,,別定
2026-12-12,阪神,12,平地,3歳以上,3歳以上2勝クラス,2勝,外,芝,1800,牝馬限定,定量
2026-12-12,中京,1,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-12,中京,2,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,牝馬限定,定量
2026-12-12,中京,3,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-12,中京,4,平地,2歳,2歳未勝利,未勝利,,芝,1600,,
2026-12-12,中京,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-12-12,中京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,牝馬限定,定量
2026-12-12,中京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-12-12,中京,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1900,,定量
2026-12-12,中京,9,平地,2歳,つわぶき賞,1勝,,芝,1400,牝馬限定,
2026-12-12,中京,10,平地,3歳以上,一宮特別,2勝,,芝,2200,,定量
2026-12-12,中京,11,平地,3歳以上,第62回 中日新聞杯（GⅢ）,G3,,芝,2000,,ハンデ
2026-12-12,中京,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-12-13,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-13,中山,2,平地,2歳,2歳未勝利,未勝利,外,芝,1200,,
2026-12-13,中山,3,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-13,中山,4,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2880,,定量
2026-12-13,中山,5,平地,2歳,2歳新馬,新馬,外,芝,1600,,
2026-12-13,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1200,,
2026-12-13,中山,7,平地,2歳,2歳1勝クラス,1勝,,ダート,1800,,
2026-12-13,中山,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,2500,,定量
2026-12-13,中山,9,平地,3歳以上,霞ヶ浦特別,2勝,,芝,1800,,定量
2026-12-13,中山,10,平地,3歳以上,師走ステークス,L,,ダート,1800,,ハンデ
2026-12-13,中山,11,平地,3歳以上,第19回 カペラステークス（GⅢ）,G3,,ダート,1200,,別定
2026-12-13,中山,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,,定量
2026-12-13,阪神,1,平地,2歳,2歳未勝利,未勝利,,ダート,1400,牝馬限定,
2026-12-13,阪神,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-12-13,阪神,3,平地,2歳,2歳未勝利,未勝利,,ダート,1400,,
2026-12-13,阪神,4,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-12-13,阪神,5,平地,2歳,2歳新馬,新馬,外,芝,1800,,
2026-12-13,阪神,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-12-13,阪神,7,平地,3歳以上,3歳以上1勝クラス,1勝,外,芝,1600,,定量
2026-12-13,阪神,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-12-13,阪神,9,平地,3歳以上,オリオンステークス,3勝,,芝,2200,,定量
2026-12-13,阪神,10,平地,3歳以上,灘ステークス,3勝,,ダート,2000,,定量
2026-12-13,阪神,11,平地,2歳,第78回 農林水産省賞典 阪神ジュベナイルフィリーズ（GⅠ）,G1,外,芝,1600,牝馬限定,
2026-12-13,阪神,12,平地,3歳以上,甲東特別,2勝,外,芝,1600,,ハンデ
2026-12-13,中京,1,平地,2歳,2歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-12-13,中京,2,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-13,中京,3,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-12-13,中京,4,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-12-13,中京,5,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-12-13,中京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-12-13,中京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-12-13,中京,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2200,,定量
2026-12-13,中京,9,平地,3歳以上,西尾特別,1勝,,芝,2000,牝馬限定,定量
2026-12-13,中京,10,平地,3歳以上,犬山特別,2勝,,ダート,1800,,定量
2026-12-13,中京,11,平地,3歳以上,知立ステークス,3勝,,芝,1200,,定量
2026-12-13,中京,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1600,,定量
2026-12-19,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-12-19,中山,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,牝馬限定,
